,0,1,2,3,4,5,6,7,8
33,F,0.68,,0.175,1.798,0.815,0.3925,0.455,19.0
34,F,0.705,0.55,0.2,,0.633,0.4115,,13.0
35,M,0.465,0.355,0.105,0.4795,,,0.125,8.0
36,F,0.54,0.475,,1.217,,,0.34,16.0
37,,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8.0
38,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11.0
39,M,,0.29,,0.3275,0.134,0.086,0.09,9.0
40,F,0.45,0.335,0.105,0.425,,0.091,0.115,9.0
41,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14.0
42,I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,
43,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5.0
44,I,,0.15,0.05,0.042,0.0175,0.0125,0.015,4.0
45,,0.39,0.295,0.095,0.203,,0.045,0.075,7.0
46,M,0.47,0.37,0.12,0.5795,0.293,0.227,,9.0
47,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7.0
48,I,0.325,,0.07,,0.0755,,0.045,6.0
49,F,0.525,0.425,0.16,0.8355,,0.2135,,9.0
50,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8.0
51,,,,0.095,0.303,0.1335,0.06,,
52,M,0.485,0.36,,0.5415,,0.096,0.16,
53,F,0.47,,0.12,0.4775,,0.1055,0.15,10.0
54,M,,0.31,0.1,0.385,0.173,0.0915,0.11,7.0
55,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8.0
56,M,,0.35,0.12,,0.192,0.0955,,8.0
57,M,,0.385,0.135,0.5895,0.2765,0.12,0.17,8.0
58,I,,0.19,0.06,0.086,0.042,0.014,0.025,4.0
59,F,0.505,0.4,0.125,0.583,,0.13,,7.0
60,M,,,0.105,0.4115,0.18,0.1125,0.135,7.0
61,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,
62,F,0.53,,0.13,0.6965,0.302,0.1935,0.2,10.0
63,M,,0.325,0.095,0.3785,0.1705,0.08,0.1,
64,M,0.52,0.4,0.12,0.58,,,,8.0
65,M,0.475,0.355,0.12,0.48,0.234,0.1015,,8.0
66,F,0.565,,0.16,0.915,,0.1935,0.32,12.0
67,F,0.595,0.495,0.185,1.285,0.416,0.224,,13.0
68,F,,0.39,0.12,0.5305,0.2135,0.1155,0.17,10.0
69,I,0.31,0.235,,,,0.0405,0.045,
70,M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13.0
71,F,0.4,0.32,0.11,,0.1405,,0.1,8.0
72,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20.0
73,M,0.57,,0.175,1.185,0.474,,,11.0
74,F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13.0
75,F,0.6,0.475,,1.0075,0.4425,,0.28,15.0
76,,,,0.14,0.944,0.3625,0.189,0.315,9.0
77,F,0.6,0.47,0.15,,,,0.305,10.0
78,F,,0.425,,,0.282,0.1595,0.285,11.0
79,,,,0.17,1.1025,0.4695,0.2355,0.345,14.0
80,F,0.575,0.445,0.14,0.941,0.3845,,,9.0
81,M,0.62,0.51,0.175,1.615,0.5105,,0.675,12.0
82,,,0.425,0.165,,0.396,,0.32,16.0
83,M,0.595,0.475,0.16,1.3175,0.408,,0.58,21.0
84,M,,0.45,0.14,,0.38,0.216,0.36,
85,F,,0.465,0.18,1.295,0.339,,0.44,12.0
86,M,,0.465,0.14,1.195,0.4825,,0.4,13.0
87,M,0.56,0.44,0.16,,0.3305,0.2075,0.26,10.0
88,F,0.46,0.355,,0.517,0.2205,,0.165,9.0
89,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12.0
90,M,,0.425,0.135,0.8115,0.341,0.1675,0.255,15.0
91,M,0.555,0.44,,0.755,,0.1525,0.26,
92,M,0.595,0.465,0.175,1.115,0.4015,,,13.0
93,F,0.625,0.495,0.165,,0.507,0.318,,10.0
94,,0.695,0.56,0.19,1.494,,0.3425,0.485,15.0
95,M,0.665,0.535,,1.606,0.5755,,0.48,14.0
96,M,,0.435,,0.725,0.269,0.1385,0.25,9.0
97,M,0.47,0.375,,0.523,0.214,0.132,0.145,8.0
98,,,0.37,0.13,0.5225,0.201,,0.165,7.0
99,F,0.475,0.375,,0.5785,,0.085,0.155,10.0
100,I,0.36,0.265,0.095,0.2315,,0.046,0.075,7.0
101,M,,0.435,0.145,,0.328,0.1915,0.255,15.0
102,M,,,0.16,,0.316,,0.335,15.0
103,M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10.0
104,M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12.0
105,F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,
106,F,0.545,0.43,0.165,0.802,,0.183,0.28,11.0
107,,0.5,0.4,,0.6675,0.261,0.1315,0.22,10.0
108,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9.0
109,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,
110,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,
111,M,0.465,0.36,0.105,0.431,,0.107,0.175,9.0
112,I,0.435,0.32,0.08,0.3325,0.1485,0.0635,,9.0
113,M,0.425,,0.105,0.393,0.13,0.063,,
114,F,0.545,0.41,,0.6935,,0.146,0.21,11.0
115,F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11.0
116,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,
117,M,0.44,,0.105,0.402,0.1305,,0.165,10.0
118,,0.56,,0.15,0.8825,0.3465,,,9.0
119,M,0.405,,0.085,0.2605,0.1145,0.0595,0.085,8.0
120,F,0.47,0.365,,,,,0.14,9.0
121,,,0.295,,0.2535,0.103,0.0575,,
122,F,,0.425,0.14,0.766,0.304,0.1725,0.255,14.0
123,M,0.37,,0.075,0.214,0.09,0.051,,6.0
124,I,0.36,0.28,0.08,0.1755,0.081,0.0505,,6.0
125,I,,0.195,0.06,,0.0285,0.0235,,5.0
126,I,0.375,0.275,0.09,0.238,0.1075,0.0545,,
127,I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8.0
128,,0.7,0.535,,1.7255,0.63,,0.54,19.0
129,M,0.71,0.54,0.165,,0.7665,,0.78,18.0
130,M,,0.48,0.165,1.262,0.4835,0.283,0.41,17.0
131,F,,0.35,,0.4035,0.175,0.063,0.129,9.0
132,,0.325,0.26,0.09,,0.085,0.036,0.062,7.0
133,I,,0.26,0.095,0.211,0.086,0.056,0.068,7.0
134,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7.0
135,F,,0.33,0.115,0.406,0.1635,0.081,,8.0
136,F,0.305,,0.08,0.156,0.0675,0.0345,0.048,7.0
137,M,0.345,0.255,,,0.094,0.0295,0.063,
138,F,,0.325,0.11,0.3555,0.151,0.063,,9.0
139,M,0.375,0.285,0.095,0.253,0.096,0.0575,,9.0
140,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10.0
141,,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10.0
142,M,0.65,0.52,0.19,1.3445,0.519,0.306,,
143,M,,0.455,0.155,,0.34,0.19,0.2425,11.0
144,M,0.475,0.375,0.13,,0.2075,0.1165,0.17,10.0
145,F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10.0
146,M,0.46,0.35,0.12,0.515,0.224,0.108,,10.0
147,,0.28,0.205,0.08,0.127,,0.039,0.042,9.0
148,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,,
149,I,0.17,0.13,,0.03,0.013,0.008,,4.0
150,M,0.59,0.475,0.145,1.053,,0.262,0.325,15.0
151,F,0.605,,0.185,1.1185,0.469,0.2585,0.335,
152,,0.635,0.515,0.19,1.3715,,,0.45,
153,,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10.0
154,,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,
155,M,0.515,0.405,,,0.32,0.131,0.21,10.0
156,F,0.575,0.46,0.19,0.994,0.392,0.2425,,13.0
157,M,0.645,0.485,0.215,1.514,,0.2615,0.635,
158,F,0.58,0.455,0.17,0.9075,0.374,,,13.0
159,F,0.575,0.46,,1.124,0.2985,0.1785,0.44,13.0
160,M,0.605,,,1.056,0.4215,0.2475,0.34,13.0
161,,0.605,,0.16,1.222,0.53,,0.28,13.0
162,M,0.61,,0.175,,0.544,0.297,0.345,
163,,0.725,,0.21,,0.65,0.398,,18.0
164,,0.65,0.545,0.23,,0.5605,0.2895,0.815,16.0
165,,,0.57,0.19,2.55,1.0705,0.483,,14.0
166,F,0.725,0.575,,2.124,0.765,0.4515,0.85,20.0
167,F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20.0
168,M,0.705,,,,,,0.76,14.0
169,F,0.68,0.515,0.175,1.6185,0.5125,0.409,,12.0
170,,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14.0
171,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7.0
172,M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8.0
173,,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8.0
174,I,,0.16,0.04,0.048,0.0185,,0.015,5.0
175,I,0.36,,0.09,0.1785,0.0645,,0.075,7.0
176,I,0.315,0.21,,0.125,0.06,0.0375,0.035,5.0
177,,0.315,0.245,,,0.053,0.0475,0.05,8.0
178,I,0.225,0.16,,,0.025,0.015,,4.0
179,,0.58,,,0.97,0.385,0.2165,0.35,11.0
180,M,,0.48,0.18,0.9395,0.399,0.2,0.295,14.0
181,M,0.64,0.51,0.175,1.368,,0.266,0.57,21.0
182,F,,0.45,0.16,1.0235,0.429,0.268,0.3,10.0
183,F,0.62,0.475,,1.0165,0.4355,0.214,0.325,10.0
184,,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12.0
185,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13.0
186,,,,,1.0525,0.392,0.336,,12.0
187,F,0.63,0.5,0.185,1.383,,0.3315,,
188,,0.63,0.48,0.16,1.199,0.5265,,0.315,11.0
189,F,0.585,,0.17,0.9325,0.365,0.271,0.29,9.0
190,M,,0.48,0.18,1.1595,0.4845,0.2165,0.325,13.0
191,M,0.61,0.485,0.17,1.0225,0.419,,0.36,12.0
192,M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14.0
193,I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8.0
194,F,0.51,0.4,0.14,0.8145,,0.1965,0.195,10.0
195,M,,0.405,0.155,0.772,,0.1535,0.245,12.0
196,F,,0.41,,0.644,0.285,0.145,0.21,11.0
197,M,0.64,0.5,0.185,1.3035,0.4445,0.2635,,16.0
198,M,,0.45,0.16,0.922,0.432,0.178,0.26,15.0
199,M,0.585,0.46,,0.922,0.3635,0.213,0.285,
200,F,0.45,0.345,0.12,,0.1655,0.095,,
201,M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,
202,F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12.0
203,F,0.53,,0.17,0.8155,0.2985,0.155,0.275,13.0
204,M,0.42,,0.115,0.369,0.171,,0.12,8.0
205,F,0.44,0.34,0.14,0.482,0.186,,0.16,9.0
206,I,0.4,0.3,0.11,0.315,0.109,,,9.0
207,I,0.435,,0.11,0.3795,,0.085,0.12,8.0
208,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,,13.0
209,I,0.37,0.28,,,0.122,0.052,0.08,7.0
210,F,0.49,0.365,,0.6345,0.1995,0.1625,0.22,10.0
211,M,0.335,0.25,0.09,0.181,0.0755,,,7.0
212,F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12.0
213,M,0.5,0.405,0.14,0.6155,0.241,0.1355,,9.0
214,F,0.485,0.395,,0.66,0.2475,,0.235,14.0
215,M,0.55,0.405,0.14,,,0.1635,0.255,10.0
216,,0.45,0.35,0.13,0.46,,0.111,,
217,,0.405,0.3,0.12,0.324,,,,7.0
218,,0.47,0.36,0.135,0.501,,0.115,0.165,
219,F,0.415,0.305,0.13,0.32,,0.0755,0.105,8.0
220,F,0.445,,0.125,,0.1785,0.1125,0.14,9.0
221,,,0.35,0.145,0.5175,0.187,0.1235,0.18,11.0
222,F,0.49,,,0.5755,0.22,0.144,0.19,
223,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,
224,,0.425,0.38,,,0.1285,0.0785,0.1,
225,F,0.5,0.37,0.135,,0.1715,0.1055,0.155,9.0
226,F,0.39,0.29,,0.3055,0.121,,0.09,7.0
227,I,0.365,0.27,0.085,,0.078,0.0485,0.07,
228,F,0.58,,0.165,1.1015,0.404,0.2095,0.35,11.0
229,F,0.53,0.415,0.16,,,0.158,0.245,
230,M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13.0
231,M,0.565,,,,0.31,0.193,0.325,14.0
232,M,,0.505,0.215,,0.496,0.287,0.435,22.0
233,I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7.0
234,I,0.44,0.35,0.135,,0.1815,0.083,0.125,12.0
235,I,,,0.08,0.124,0.0485,0.032,0.04,
236,I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,
237,I,0.13,0.1,,,,,0.004,3.0
238,I,0.11,0.09,0.03,0.008,,,,3.0
239,I,0.16,0.12,,0.021,0.0075,0.0045,0.005,5.0
240,M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17.0
241,,,0.2,,,0.034,0.0245,0.035,5.0
242,I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,
243,I,0.3,,0.08,0.1275,,0.0265,0.04,8.0
244,I,0.33,0.255,0.085,,0.063,,0.06,8.0
245,I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10.0
246,I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13.0
247,I,0.36,,0.085,0.1975,0.0745,,0.07,9.0
248,I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,
249,,,0.27,0.11,,0.082,0.0545,0.07,7.0
250,I,0.33,0.25,0.105,,0.0655,0.035,0.06,7.0
251,,0.59,0.47,0.18,1.1235,,,0.36,13.0
252,,0.595,0.455,0.155,1.0605,0.5135,,0.3,12.0
253,F,,0.46,0.185,1.094,,0.217,0.345,15.0
254,M,,0.495,,1.2415,,0.2775,0.34,15.0
255,M,0.56,0.45,,1.011,,0.2065,0.37,
256,M,0.56,0.45,0.185,,0.3805,0.175,,19.0
257,,0.545,,0.16,0.8975,0.341,0.1655,,10.0
258,F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15.0
259,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,,13.0
260,,0.54,0.475,0.155,0.928,,0.194,0.26,11.0
261,,0.57,0.44,,,,0.1725,,12.0
262,,0.53,0.42,0.165,,,0.239,0.245,11.0
263,,0.245,0.195,0.06,0.095,0.0445,,,
264,M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,
265,F,0.46,0.38,0.13,0.639,0.3,,,11.0
266,M,,0.45,0.15,0.895,0.3615,0.186,,14.0
267,M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,
268,M,0.47,0.39,0.15,,0.2185,0.0885,,
269,,0.45,0.36,0.125,0.4995,,0.1,,13.0
270,,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,22.0
271,M,0.59,0.5,0.2,,0.412,0.2705,0.37,
272,M,0.62,,0.205,1.219,0.3875,0.2505,0.385,
273,M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15.0
274,,,0.515,,1.259,0.4105,0.197,0.41,13.0
275,M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,
276,F,,0.53,0.185,,0.493,,0.49,12.0
277,M,,0.5,0.24,,,0.3345,0.69,18.0
278,M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20.0
279,F,0.515,0.425,0.135,0.712,0.2665,0.1605,,11.0
280,,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15.0
281,,,0.285,0.105,0.2415,,,0.075,
282,F,0.455,,,0.4495,0.177,0.104,0.15,9.0
283,M,0.485,0.395,0.14,0.6295,0.2285,0.127,,
284,,0.515,0.38,0.175,0.9565,,0.158,0.31,14.0
285,F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10.0
286,M,0.53,,0.155,,0.288,0.1595,0.205,10.0
287,,0.495,0.4,,0.6445,0.242,0.1325,0.205,17.0
288,M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9.0
289,F,0.535,,0.16,0.8105,0.3155,,0.24,
290,M,,0.435,0.18,0.996,0.3835,0.226,0.325,17.0
291,F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12.0
292,M,0.61,0.475,0.165,1.116,,0.2205,,15.0
293,F,0.565,0.455,0.175,1.013,0.342,0.207,,19.0
294,,0.6,0.495,0.195,1.0575,0.384,0.19,,26.0
295,I,0.295,0.215,0.085,0.128,,0.034,0.04,6.0
296,,,,0.075,0.1105,,0.0285,0.035,6.0
297,I,,0.21,0.085,,0.039,,0.03,
298,M,0.49,0.395,0.14,0.549,0.2215,0.1275,,11.0
299,M,0.37,0.28,,0.234,0.0905,0.0585,0.075,
300,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,,
301,F,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13.0
302,M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8.0
303,M,0.36,0.27,0.1,0.217,,,,6.0
304,F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10.0
305,I,0.2,0.145,0.06,0.037,,0.0095,,4.0
306,I,0.165,0.12,0.03,,0.007,0.005,0.005,3.0
307,M,,0.515,,,0.471,0.369,0.535,13.0
308,M,0.55,0.41,0.125,0.7605,,0.1635,0.195,
309,,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10.0
310,,0.63,0.485,,1.2435,0.4635,0.3055,0.39,21.0
311,M,0.56,0.44,,0.971,0.443,,0.265,14.0
312,M,0.595,0.455,0.195,1.3305,,0.3235,,19.0
313,F,0.62,0.47,0.2,1.2255,,0.27,0.435,23.0
314,,0.63,,,,0.4335,0.2945,0.46,23.0
315,I,0.45,0.355,0.11,0.4585,,0.067,0.14,8.0
316,F,,0.535,0.19,1.242,0.576,0.2475,0.39,14.0
317,M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,
318,F,,0.455,0.155,0.8365,0.315,0.1385,0.32,18.0
319,I,,0.255,0.095,0.172,0.066,0.0255,0.06,
320,I,0.265,0.21,0.06,0.0965,0.0425,0.022,,5.0
321,I,0.19,0.145,,0.038,,0.0065,0.015,4.0
322,,,0.31,0.1,,0.1065,0.075,0.1,11.0
323,I,,0.205,0.07,,0.039,0.041,0.035,5.0
324,M,,0.265,0.105,0.222,0.0935,0.056,0.075,7.0
325,I,0.355,0.275,0.09,,,,,7.0
326,I,0.32,0.255,0.1,0.1755,0.073,0.0415,,
327,,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12.0
328,,0.36,0.295,0.105,0.241,0.0865,,0.095,8.0
329,,0.36,,0.09,,0.0885,0.04,0.09,8.0
330,M,0.5,0.38,0.155,,0.2135,0.161,0.2,
331,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8.0
332,I,,0.22,0.08,,,0.042,0.035,5.0
333,I,0.235,,0.04,0.0705,0.0335,0.015,0.02,5.0
334,F,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,16.0
335,M,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,11.0
336,M,0.6,,0.19,1.0875,,0.2655,0.325,
337,M,0.59,,0.185,1.283,0.473,0.276,0.425,16.0
338,M,0.62,0.475,0.185,1.325,,0.325,0.33,13.0
339,,,0.45,0.195,1.0035,0.406,0.2505,0.285,15.0
340,M,0.575,0.455,0.145,1.165,0.581,,0.3,14.0
341,F,0.62,,0.205,,0.4775,0.2565,0.48,14.0
342,M,0.62,0.465,,1.274,0.579,0.3065,0.32,12.0
343,F,,0.375,0.18,0.568,0.2325,,0.17,12.0
344,F,0.46,0.425,0.155,0.746,0.3005,,0.24,8.0
345,M,0.49,0.39,0.14,0.707,,0.2185,0.18,
346,F,0.525,0.42,0.16,0.756,0.2745,,0.275,9.0
347,,,,0.08,0.2,0.08,0.0555,0.055,6.0
348,,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,8.0
349,M,0.61,0.48,0.15,,,,0.28,14.0
350,,0.61,0.495,,1.153,0.536,0.2905,0.245,
351,F,0.585,0.45,,0.8685,0.3325,,0.27,22.0
352,M,0.57,0.46,0.14,,,0.2065,0.245,12.0
353,M,,0.455,,0.93,0.408,0.259,,9.0
354,M,0.635,0.515,0.17,,0.509,0.286,,16.0
355,M,,0.58,,2.13,,0.49,0.58,20.0
356,,0.675,0.525,0.185,1.587,0.6935,,0.395,13.0
357,F,,0.525,0.19,1.8085,0.7035,0.3885,0.395,18.0
358,,0.745,0.585,,,0.9265,0.472,0.7,17.0
359,F,0.685,0.545,0.18,1.768,0.7495,,0.485,16.0
360,M,,0.49,0.18,1.227,0.48,,0.35,
361,F,0.59,0.465,0.15,0.997,0.392,0.246,,12.0
362,F,,,0.175,1.4225,0.61,0.2995,0.445,20.0
363,F,0.6,0.48,0.15,,0.4085,0.2705,0.295,
364,F,0.62,,0.175,1.186,0.4985,0.3015,0.35,
365,M,,0.515,,1.016,0.4215,0.244,0.355,19.0
366,M,,0.465,,0.887,0.4405,0.1655,0.265,11.0
367,F,0.58,0.455,0.12,,0.479,0.2735,0.265,
368,M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12.0
369,F,0.69,0.56,0.215,,0.68,0.299,,17.0
370,,0.65,0.545,0.165,1.566,0.6645,0.3455,,16.0
371,F,0.66,0.565,0.195,1.7605,,0.3265,0.5,16.0
372,F,0.68,0.58,0.2,1.787,0.585,0.453,,19.0
373,F,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14.0
374,M,0.685,0.52,,1.343,0.4635,0.292,,
375,F,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,
376,M,,0.49,0.19,1.1775,,0.3365,0.285,
377,,,0.45,0.16,1.077,0.4995,,,10.0
378,,0.565,0.465,,0.995,,0.183,0.37,15.0
379,F,0.61,,0.185,,,0.3135,0.33,12.0
380,M,,0.47,0.18,1.1405,0.3755,0.2805,0.385,15.0
381,M,0.535,0.42,0.145,,0.33,0.189,0.25,
382,M,,0.4,0.135,0.663,0.313,0.137,,10.0
383,M,0.47,,0.12,,0.226,0.122,0.195,12.0
384,M,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10.0
385,,0.455,,0.105,0.4925,0.216,0.1245,0.135,9.0
386,M,0.54,0.42,0.155,,0.3515,,0.215,
387,,,0.38,0.135,0.482,0.207,0.1225,0.145,10.0
388,,0.49,,,0.609,,0.1435,0.22,
389,,0.465,0.375,0.12,0.471,0.222,,0.14,9.0
390,I,0.415,0.325,0.1,0.3215,,0.0595,0.105,
391,M,0.475,,0.125,0.593,0.277,0.115,,10.0
392,F,0.47,,0.125,0.5615,0.252,0.137,0.18,10.0
393,I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9.0
394,,0.345,,0.095,0.1995,0.0755,,,6.0
395,I,0.39,,0.1,0.302,0.116,,0.115,11.0
396,F,0.5,0.395,0.14,0.7155,0.3165,0.176,,10.0
397,M,0.47,0.38,0.145,,,0.144,,
398,M,0.535,,0.15,,0.256,0.139,0.26,12.0
399,M,0.585,,0.15,0.987,0.4355,0.2075,,11.0
400,,,0.365,0.12,0.5885,0.27,0.131,0.175,9.0
401,M,0.515,,,,,0.1625,0.235,9.0
402,F,0.435,0.325,0.11,0.4335,0.178,,0.155,7.0
403,F,0.515,0.415,0.14,,0.3115,,0.2,10.0
404,I,0.44,,0.12,0.365,0.1655,,0.11,
405,F,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,12.0
406,M,0.45,0.355,0.115,0.479,0.2125,,0.15,8.0
407,M,,0.485,,0.911,0.39,0.182,0.29,16.0
408,M,0.555,0.45,,0.915,0.4,0.246,0.285,11.0
409,,0.57,,,0.827,,0.2215,0.235,8.0
410,M,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15.0
411,M,,,0.12,0.945,,0.2115,0.28,14.0
412,F,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,
413,,0.545,0.44,0.12,0.8565,0.3475,0.1715,,12.0
414,,0.605,0.495,0.17,1.2385,,0.2465,0.39,
415,F,0.62,0.47,0.14,,,,0.36,15.0
416,F,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20.0
417,M,0.63,0.515,0.165,1.352,0.488,0.349,,20.0
418,F,0.63,0.5,0.155,1.005,,0.199,0.36,16.0
419,M,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13.0
420,F,0.67,,0.165,1.5015,,0.358,,14.0
421,I,0.49,0.38,0.12,0.529,0.2165,0.139,,
422,F,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13.0
423,I,0.29,0.225,,0.101,0.036,0.0235,0.035,
424,I,0.26,0.2,0.07,0.092,0.037,0.02,0.03,6.0
425,M,0.58,0.45,,1.068,0.425,,0.32,
426,F,0.61,0.485,0.165,,,0.2435,0.33,
427,M,0.6,0.5,0.16,1.015,,0.1735,0.33,19.0
428,F,0.56,,0.125,,0.344,0.129,,21.0
429,F,0.575,,0.17,1.0475,0.3775,0.1705,0.385,18.0
430,F,,0.45,0.175,0.9555,0.38,0.1665,0.295,18.0
431,M,0.6,,0.155,,,0.196,0.325,20.0
432,M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18.0
